"","X","EDUC","LWKLYWGE","QOB","YOB","first_quarter"
"1",10,17,5.83524084091187,2,1925,0
"2",34,18,6.09606742858887,3,1925,0
"3",80,14,5.46495294570923,1,1925,1
"4",99,11,5.242835521698,1,1925,1
"5",101,9,5.7701268196106,4,1925,0
"6",102,14,5.52923440933228,1,1925,1
"7",108,14,6.15604400634766,3,1925,0
"8",113,12,5.29335403442383,4,1925,0
"9",132,16,6.0692195892334,2,1925,0
"10",140,12,5.17863893508911,4,1925,0
"11",143,8,5.55988931655884,1,1925,1
"12",157,16,5.68727445602417,3,1925,0
"13",164,13,5.17863893508911,1,1925,1
"14",188,16,5.28345251083374,3,1925,0
"15",196,12,5.1675271987915,3,1925,0
"16",203,14,5.17863893508911,4,1925,0
"17",213,10,4.55480527877808,1,1925,1
"18",219,11,5.17863893508911,1,1925,1
"19",223,18,6.58818435668945,2,1925,0
"20",233,13,5.58963251113892,4,1925,0
"21",247,12,5.01057004928589,3,1925,0
"22",261,10,5.51130962371826,4,1925,0
"23",277,11,4.7759051322937,1,1925,1
"24",301,12,5.15629053115845,1,1925,1
"25",331,18,5.70374822616577,1,1925,1
"26",338,8,4.96928691864014,2,1925,0
"27",339,7,5.31286764144897,4,1925,0
"28",344,17,5.58227920532227,4,1925,0
"29",346,12,5.54467964172363,2,1925,0
"30",355,12,5.46495294570923,1,1925,1
"31",367,12,5.21125268936157,3,1925,0
"32",392,5,4.39891767501831,2,1925,0
"33",397,15,5.68727445602417,3,1925,0
"34",401,8,5.14492607116699,4,1925,0
"35",420,13,5.28345251083374,4,1925,0
"36",456,13,5.23364543914795,1,1925,1
"37",477,11,5.6240177154541,3,1925,0
"38",485,5,5.08608245849609,2,1925,0
"39",492,9,4.82430553436279,2,1925,0
"40",507,16,4.57959604263306,1,1925,1
"41",528,8,4.68963766098022,1,1925,1
"42",530,10,5.47321748733521,2,1925,0
"43",541,8,5.28345251083374,2,1925,0
"44",542,8,5.54467964172363,2,1925,0
"45",544,17,6.15604400634766,4,1925,0
"46",548,16,5.06153964996338,3,1925,0
"47",555,17,5.62560892105103,3,1925,0
"48",557,11,5.17863893508911,4,1925,0
"49",564,16,5.54467964172363,1,1925,1
"50",571,14,5.97413396835327,4,1925,0
"51",593,18,5.81205034255981,2,1925,0
"52",619,8,-0.0198026262223721,4,1925,0
"53",629,11,5.23241853713989,4,1925,0
"54",639,8,5.37831497192383,3,1925,0
"55",658,18,5.81205034255981,3,1925,0
"56",682,10,5.22060441970825,1,1925,1
"57",695,6,5.06153964996338,1,1925,1
"58",698,16,5.28345251083374,2,1925,0
"59",699,7,4.3745231628418,2,1925,0
"60",701,13,5.97413396835327,1,1925,1
"61",725,11,5.01057004928589,4,1925,0
"62",734,12,5.12180233001709,4,1925,0
"63",762,16,4.59521865844727,1,1925,1
"64",776,7,4.55480527877808,1,1925,1
"65",777,6,5.51521444320679,2,1925,0
"66",791,6,5.06153964996338,1,1925,1
"67",797,18,6.11357355117798,3,1925,0
"68",801,17,5.61851644515991,2,1925,0
"69",809,16,5.68727445602417,3,1925,0
"70",816,9,5.17882966995239,1,1925,1
"71",820,12,5.49761009216309,2,1925,0
"72",821,6,5.46495294570923,2,1925,0
"73",832,16,5.23241853713989,3,1925,0
"74",844,9,5.53698682785034,3,1925,0
"75",850,12,4.68963766098022,1,1925,1
"76",856,8,4.70749664306641,2,1925,0
"77",869,12,5.13634395599365,1,1925,1
"78",889,13,4.84256219863892,1,1925,1
"79",900,16,6.88795280456543,1,1925,1
"80",914,12,4.94297218322754,3,1925,0
"81",916,8,5.06153964996338,2,1925,0
"82",923,12,4.92888641357422,2,1925,0
